cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,complaints_per_100_footfall
10.0,3.3,32.6,3,537,1.5,0.5586592178770949
7.5,3.0,54.6,3,661,5.0,0.45385779122541603
5.5,4.5,41.1,7,286,8.1,2.4475524475524475
8.6,2.3,11.3,2,248,10.2,0.8064516129032258
5.8,3.0,47.1,6,118,0.5,5.084745762711865
5.8,2.1,48.0,6,680,3.2,0.8823529411764706
5.9,7.9,38.4,8,566,9.5,1.4134275618374559
7.1,2.2,42.9,1,558,4.3,0.17921146953405018
7.2,4.8,45.8,6,146,12.8,4.10958904109589
7.8,2.9,15.7,1,590,22.5,0.1694915254237288
6.0,4.2,51.9,6,476,1.2,1.2605042016806722
6.3,4.9,37.8,3,646,17.2,0.46439628482972134
